"rt","trial_type","trial_index","response"
"1073","instructions","0",NULL
NULL,"html-keyboard-response","1",NULL
"986","html-button-response","2","1"
NULL,"html-keyboard-response","3",NULL
"388","html-button-response","4","2"
NULL,"html-keyboard-response","5",NULL
"417","html-button-response","6","1"
NULL,"html-keyboard-response","7",NULL
"427","html-button-response","8","0"
NULL,"html-keyboard-response","9",NULL
"384","html-button-response","10","1"
NULL,"html-keyboard-response","11",NULL
"387","html-button-response","12","2"
"1079","instructions","0",NULL
NULL,"html-keyboard-response","1",NULL
"1184","html-button-response","2","1"
NULL,"html-keyboard-response","3",NULL
"336","html-button-response","4","1"
NULL,"html-keyboard-response","5",NULL
"347","html-button-response","6","1"
NULL,"html-keyboard-response","7",NULL
"305","html-button-response","8","1"
NULL,"html-keyboard-response","9",NULL
"313","html-button-response","10","1"
NULL,"html-keyboard-response","11",NULL
"311","html-button-response","12","1"
"3548","survey-likert","13","{""Q0"":1,""Q1"":0,""Q2"":1}"
