dk1,,,,,,,,,,,
23-1121-09:21,,,,,,,,,,,
3.0.19 - Flavor: beta - Corresponds to SVN Revision 13790,,,,,,,,,,,
For more info visit:,,,,,,,,,,,
https://github.com/Psychtoolbox-3/Psychtoolbox-3,,,,,,,,,,,
,,,,,,,,,,,
imgRatio,1,,,,,,,,,,
fontSize,30,,,,,,,,,,
ifi (ms),16.629082,,,,,,,,,,
ScreenW,1680,,,,,,,,,,
ScreenH,1050,,,,,,,,,,
,,,,,,,,,,,
repeatCnt,trialCnt,image_type,context,target_file_num,ecc,target_pos,target_num,resp,correct,RT,fixTime
1,1,0,-1,3,6,3,1,1,1,0.68708,1.086756
1,2,0,-1,5,11,1,3,3,1,0.489315,1.122752
1,3,0,-1,1,1,1,1,1,1,0.189177,0.852238
1,4,0,-1,4,9,0,7,7,1,0.893123,0.896213
1,5,0,-1,6,1,2,4,4,1,0.348171,1.187526
1,6,0,-1,2,3,2,4,3,0,0.850846,1.08022
1,1,1,0,49,6,2,1,1,1,1.00878,0.937784
1,2,1,0,51,3,3,1,1,1,0.945422,1.152056
1,3,1,1,6,3,1,7,7,1,0.623419,0.841884
1,4,1,1,2,9,3,4,4,1,0.751341,0.831371
1,5,2,0,56,3,0,7,3,0,0.129654,0.91816
1,6,1,1,18,6,0,3,4,0,0.359104,1.116223
1,7,2,0,55,6,2,3,3,1,0.663593,0.867877
1,8,1,0,38,9,0,7,0,0,0.091972,0.92615
1,9,1,1,11,11,0,7,7,1,0.701302,0.891829
1,10,1,0,39,11,0,4,4,1,0.76994,0.942766
1,11,2,1,7,9,1,7,1,0,0.131491,0.932643
1,12,2,1,4,3,2,1,4,0,1.08922,0.84627
1,13,1,1,12,1,2,3,3,1,0.386136,1.093769
1,14,2,1,30,9,0,3,1,0,0.573724,1.079725
1,15,1,0,40,1,1,3,3,1,0.671578,1.117839
1,16,1,0,33,3,0,1,1,1,0.795537,0.806223
1,17,2,1,13,9,1,3,3,1,0.859212,1.005712
1,18,1,0,54,9,2,4,4,1,0.483453,0.841543
1,19,1,0,35,9,3,1,4,0,0.58121,1.07967
1,20,2,1,21,6,2,7,7,1,0.62569,0.959676
1,21,1,1,19,6,3,3,4,0,0.537407,0.917253
1,22,1,1,10,3,2,7,7,1,0.607837,1.06392
1,23,1,1,25,9,3,4,4,1,0.307878,1.162669
1,24,2,0,54,11,0,3,3,1,0.662357,1.097084
1,25,1,1,9,11,0,3,0,0,0.819521,1.083997
1,26,2,0,51,6,3,1,1,1,0.418197,1.002313
1,27,2,0,37,3,1,7,7,1,0.520664,0.845085
1,28,1,1,27,3,1,4,4,1,0.406237,1.055508
1,29,1,0,53,9,3,3,0,0,0.566356,1.157206
1,30,1,1,16,9,3,1,4,0,0.891479,1.067324
1,31,1,1,1,1,0,7,7,1,0.578241,0.871324
1,32,1,1,8,9,1,3,0,0,1.174017,1.023078
1,33,1,0,47,1,2,7,7,1,0.476943,0.822988
